BODY CONDITION,BASE TAIL CIRCUMFERENCE (BTC),BTC:STL,BODY SIZE,EYE TO EAR LENGTH (EEL),EEL: SKULL LENGTH,EEL:STL,SKULL LENGTH (SL),SL:STL,SKULL WIDTH (SW),SW:STL,SW:SL,SNOUT-TAIL-LENGTH (STL) ,SNOUT-VENT-LENGTH (SVL),TAIL LENGTH (TL),TL:STL,THIGH WIDTH (TW),TW:STL,WEIGHT,"SEX (male= 0, female= 1)"
0.014,15.2,0.1216,-1.6981,2.8,0.314606742,0.0224,8.9,0.0712,14.6,0.1168,1.640449438,125,48.4,76.6,0.6128,12.1,0.0968,1.75,1
0.015162722,15.3,0.11316568,-1.23819,3.1,0.336956522,0.022928994,9.2,0.068047337,15,0.110946746,1.630434783,135.2,54.1,81.1,0.599852071,12,0.088757396,2.05,1
0.021537442,16.6,0.110006627,-0.44322,3.2,0.359550562,0.021206097,8.9,0.058979457,16.5,0.109343936,1.853932584,150.9,59.2,91.7,0.60768721,14,0.092776673,3.25,1
0.02638191,21.4,0.134422111,0.84304,3.6,0.349514563,0.022613065,10.3,0.064698492,18.4,0.115577889,1.786407767,159.2,61.7,97.5,0.612437186,16,0.100502513,4.2,0
0.015350877,14,0.122807018,-2.00135,2.9,0.325842697,0.025438596,8.9,0.078070175,13.8,0.121052632,1.550561798,114,48.3,65.7,0.576315789,11,0.096491228,1.75,1
0.029841657,20.9,0.1272838,1.66884,4,0.336134454,0.024360536,11.9,0.072472594,19.2,0.116930572,1.613445378,164.2,68.5,95.7,0.582825822,16.6,0.101096224,4.9,1
0.023550725,18.2,0.131884058,-0.13447,3.2,0.31372549,0.023188406,10.2,0.073913043,17.1,0.123913043,1.676470588,138,58,80,0.579710145,14.9,0.107971014,3.25,1
0.026190476,21.5,0.146258503,0.65099,3.8,0.37254902,0.02585034,10.2,0.069387755,17.4,0.118367347,1.705882353,147,60,87,0.591836735,16.4,0.111564626,3.85,0
0.016578749,16.5,0.124340618,-1.39765,3.1,0.319587629,0.023360965,9.7,0.073097212,16,0.12057272,1.649484536,132.7,32.3,100.4,0.756593821,12.5,0.094197438,2.2,0
0.018188302,16.4,0.116975749,-0.75724,3,0.306122449,0.021398003,9.8,0.069900143,16,0.114122682,1.632653061,140.2,54.6,85.6,0.610556348,13.5,0.096291013,2.55,1
0.019244476,18,0.128296507,-0.39751,3.2,0.31372549,0.022808268,10.2,0.072701354,15.3,0.109052031,1.5,140.3,58,82.3,0.586600143,14.6,0.104062723,2.7,1
0.026666667,18.4,0.136296296,0.18822,3.4,0.317757009,0.025185185,10.7,0.079259259,17.7,0.131111111,1.654205607,135,60.4,74.6,0.552592593,15.1,0.111851852,3.6,1
